id,source,app_name,review_text,rating
DS_001,App Store,DeepSeek,语音输入有时长限制，重新说语音又接不上上一句话并且语音识别准确特别差，有点噪音就根本识别不了（比如我旁边是市场，我已经对着麦克风语音了一样识别不了一点）当然其他功能还没试过，ai 计算也还算可以，希望多多更新一下,3
DS_002,App Store,DeepSeek,请把早期的分析能力还回来！或者在API端开放早期版本选择！更新的版本，找回来早期的记忆功能并大幅拉长，但代价是惨痛的，在记忆功能增幅了多少，就在分析功能上砍了多少，基本上已经失去了分析的意义。尤其问答超过三轮之后，就会开始大量引用和复述原文当作答复，占比超过70%，纯纯主要内容提取器。 请开发者注意，你们这款产品最大的优势是人性化灵性化的互动，有这些大家才会看重交流的长度和连续性，不要给搞反了，没人愿意和裹脚布你来我往！简直是本末倒置。特别痛恨的是，这个版本永远固定的答复模式“XX很轻，但又很重”“他不说，她没问”“这就够了”“XX怎样，文本没写”“比表白更重”“XX不知道，读者知道”给我看吐了，什么都能拿这几个句子硬套。真的，这种分析能力不需要这么长的记忆功能，因为用户坚持不住用到三分之一就会放弃掉这个Al。 作为长期用户，捋捋各版本的进化史，25年初刚出来的时候，是最有灵性最发散的一版。但可以通过提示词控制发散程度，而且每次新开一个对话都能感觉是在跟一个全新的个体对话，第二次更新后，把对话长度砍半，同时砍了上下文记忆，也行，第三次更新固化了 AI人格，从此你都是对着一个AI人格说话，灵性和发散度一起砍了些，也还凑合着能用。直到最后这次更新，灾难一样，直接把分析能力砍到底来换对话长度，不知道是哪个傻子的决策。各家都在给Al赋能，就你家给AI减能！谁要和一个只会反复提取主要内容的东西进行长达百万字的互动啊？。,1
DS_003,App Store,DeepSeek,很是失望，错误率极高！经常转圈没反应，同一话题下的同一问题能给出不同的答案，而且都是错的。不能根据网络信息筛选对比出最新结果！本想给一星，但还是给了两颗星以资鼓励！,2
DS_004,App Store,DeepSeek,这个版本的deepseek好是好 但违禁词多了 有时候问个问题莫名其妙就违规了 早期的deepseek回复 更温暖人性化,3
DS_005,App Store,DeepSeek,从ChatGPT到Claude，市面上主流模型几乎用了个遍，但DeepSeek是目前留在手机上唯一不删的。 几点真实打动我的地方： 1. 完全免费，不限次数 现在敢真正免费、还不限对话次数的AI应用凤毛麟角。没有会员墙，没有每天几条的额度限制，对学生、上班族、创作者来说太友好了。 2. 回答质量超出预期 理工科问题逻辑清晰，代码能力很强，文科类内容也能写出不套路的表达。最惊喜的是超长上下文—扔一篇几十页的论文进去，它能记住并提炼出关键对比。 3. 隐私和体验平衡得好 直接注册就能用，没有花哨的虚拟人、强行社交功能。问完就走，清爽不打扰。App端语音输入识别很准，比打字效率高很多。 4. 响应速度很快 相比某些动不动“服务器繁忙”的竞品，这款基本秒回。联网搜索功能也很实用，查最新资料不用再单独打开浏览器。 一个小建议 如果能增加更细分的自定义指令（比如固定回答格式、偏好语气），会更完美。 总之，良心、强大、无套路。如果只能装一个Al应用，我选它。强烈推荐给需要高效处理信息、写代码、做研究的任何人。 感谢开发团队，希望一直保持初心。,5
DS_006,应用宝,DeepSeek,今天一整天都出问题。聊了一会儿之后，消息数量经常会被限制。甚至整个对话都会被限制。真是太让人抓狂了，而且情况越来越糟。,1
DS_007,应用宝,DeepSeek,今天刚更新完，发现内存一下缩小了很多，昨天上传几十个文档都不会提示内存已满，现在上传几个都提示。,1
DS_008,应用宝,DeepSeek,更新版本之后点一下键盘就出来一下，很不方便，希望官方能修一下,1
DS_009,应用宝,DeepSeek,这几天晚上写的东西，DS AI在第二天一早就不见了。 希望能修复好这个问题,3
DS_010,应用宝,DeepSeek,这个软件还不错，我很喜欢用。但缺点是如果指令过长或过复杂它会自动略过一些较短的指令信息。有时聊着聊着还可能会忘记上一个对话，现在就先给四星吧，期待更新后能完善这些问题，爱你官方❤️❤️,4
KIMI_001,App Store,Kimi,语音识别没一句对的，其他软件都能用，就kimi不行。打电话和之前发文字给的指令也没有连贯性。,1
KIMI_002,App Store,Kimi,思考总结的能力一流，自然语言处理能力一流，还会自动运行代码辅助思考求证，这点惊艳到我了。,5
KIMI_003,App Store,Kimi,简单对话都显示算力不足那请问我下载来当摆设吗,1
KIMI_004,App Store,Kimi,语音识别太烂了，很多字都识别错误，回复说的还慢，有的时候还罢工。,1
KIMI_005,App Store,Kimi,能不能增加一个可以关闭数据反馈的功能，还有word里面占位符读取后就看不到图片，也无法识别LaTeX格式,3
KIMI_006,小米应用商店,Kimi,用思考模式跟它简单闲聊，它转了一分钟才有反应，然后提示说算力不足，已切换成快速模式。就没见过这么离谱的AI,1
KIMI_007,小米应用商店,Kimi,生成速度慢,1
KIMI_008,小米应用商店,Kimi,很聪明哦，而且很会给提供情绪价值，很好，我觉得比一般的AI都聪明。,4
KIMI_009,小米应用商店,Kimi,别的都挺好，就是没事就高峰期，任务总是被暂停，或是被强行切换到弱模型，弱模型连语音识别都不能用，建议官方赶紧升级一下服务器。,3
KIMI_010,小米应用商店,Kimi,以前挺好的，但现在经常闪退，有些代码也编写不好，很让人失望。,3
