record_key,id,source,app_name,review_text,rating,issue_category,rule_issue_category,priority,confidence,rule_confidence,matched_categories,matched_keywords,summary,user_need,product_suggestion,needs_human_review,human_review_reasons,classification_source,llm_rule_disagreement,llm_error
B016::16,B016,App Store,Acme Copilot,日常整理资料很顺手,5,不明确/其他,不明确/其他,P2,0.25,0.25,,,日常整理资料很顺手,需要补充上下文，澄清用户遇到的具体任务和阻塞点。,进入人工复核队列，补充来源、任务场景和用户期望后再决定产品动作。,True,分类低置信度,rules,False,
B017::17,B017,App Store,Acme Copilot,响应速度令人满意,5,正向反馈/无明确问题,正向反馈/无明确问题,P2,0.69,0.69,正向反馈/无明确问题,正向反馈/无明确问题:满意,响应速度令人满意,继续稳定获得当前产品价值，无需进入问题修复流程。,记录正向体验信号并用于趋势观察；当前样本不创建问题修复项。,False,,rules,False,
B018::18,B018,App Store,Acme Copilot,写作辅助效果不错,5,正向反馈/无明确问题,正向反馈/无明确问题,P2,0.69,0.69,正向反馈/无明确问题,正向反馈/无明确问题:不错,写作辅助效果不错,继续稳定获得当前产品价值，无需进入问题修复流程。,记录正向体验信号并用于趋势观察；当前样本不创建问题修复项。,False,,rules,False,
B019::19,B019,App Store,Acme Copilot,生成摘要很有帮助,5,不明确/其他,不明确/其他,P2,0.25,0.25,,,生成摘要很有帮助,需要补充上下文，澄清用户遇到的具体任务和阻塞点。,进入人工复核队列，补充来源、任务场景和用户期望后再决定产品动作。,True,分类低置信度,rules,False,
B020::20,B020,App Store,Acme Copilot,整体体验值得推荐,5,正向反馈/无明确问题,正向反馈/无明确问题,P2,0.69,0.69,正向反馈/无明确问题,正向反馈/无明确问题:推荐,整体体验值得推荐,继续稳定获得当前产品价值，无需进入问题修复流程。,记录正向体验信号并用于趋势观察；当前样本不创建问题修复项。,False,,rules,False,
B021::21,B021,App Store,Acme Copilot,搜索知识库很方便,4,不明确/其他,不明确/其他,P2,0.25,0.25,,,搜索知识库很方便,需要补充上下文，澄清用户遇到的具体任务和阻塞点。,进入人工复核队列，补充来源、任务场景和用户期望后再决定产品动作。,True,分类低置信度,rules,False,
B022::22,B022,App Store,Acme Copilot,回答思路清楚而且稳定,5,不明确/其他,不明确/其他,P2,0.25,0.25,,,回答思路清楚而且稳定,需要补充上下文，澄清用户遇到的具体任务和阻塞点。,进入人工复核队列，补充来源、任务场景和用户期望后再决定产品动作。,True,分类低置信度,rules,False,
B023::23,B023,App Store,Acme Copilot,团队成员都觉得产品实用,5,用户预期与产品定位问题,用户预期与产品定位问题,P2,0.69,0.69,用户预期与产品定位问题,用户预期与产品定位问题:产品,团队成员都觉得产品实用,确认产品适用场景、能力边界和可交付结果。,在新手引导、模板和结果页说明能力边界，减少用户对交付形态的误解。,False,,rules,False,
B024::24,B024,App Store,Acme Copilot,导入资料的体验很顺畅,4,不明确/其他,不明确/其他,P2,0.25,0.25,,,导入资料的体验很顺畅,需要补充上下文，澄清用户遇到的具体任务和阻塞点。,进入人工复核队列，补充来源、任务场景和用户期望后再决定产品动作。,True,分类低置信度,rules,False,
B025::25,B025,App Store,Acme Copilot,客服响应及时问题解决了,4,不明确/其他,不明确/其他,P2,0.25,0.25,,,客服响应及时问题解决了,需要补充上下文，澄清用户遇到的具体任务和阻塞点。,进入人工复核队列，补充来源、任务场景和用户期望后再决定产品动作。,True,分类低置信度,rules,False,
B026::26,B026,App Store,Acme Copilot,界面简洁容易上手,5,交互体验问题,交互体验问题,P2,0.69,0.69,交互体验问题,交互体验问题:界面,界面简洁容易上手,更低成本地完成核心操作，减少查找和理解成本。,梳理用户完成任务的关键路径，优化入口、按钮文案和空状态提示。,False,,rules,False,
B027::27,B027,App Store,Acme Copilot,通知提醒很清楚,4,不明确/其他,不明确/其他,P2,0.25,0.25,,,通知提醒很清楚,需要补充上下文，澄清用户遇到的具体任务和阻塞点。,进入人工复核队列，补充来源、任务场景和用户期望后再决定产品动作。,True,文本过短；分类低置信度,rules,False,
B028::28,B028,App Store,Acme Copilot,多端同步使用方便,5,账号、隐私与数据问题,账号、隐私与数据问题,P2,0.69,0.69,账号、隐私与数据问题,账号、隐私与数据问题:同步,多端同步使用方便,保护账号、隐私、历史内容和跨设备数据连续性。,检查登录、同步和权限链路，明确数据保存策略，并提供可追踪的恢复流程。,False,,rules,False,
B029::29,B029,App Store,Acme Copilot,这次更新前整体表现稳定,4,不明确/其他,不明确/其他,P2,0.25,0.25,,,这次更新前整体表现稳定,需要补充上下文，澄清用户遇到的具体任务和阻塞点。,进入人工复核队列，补充来源、任务场景和用户期望后再决定产品动作。,True,分类低置信度,rules,False,
B030::30,B030,App Store,Acme Copilot,继续保持现在的体验就很好,4,正向反馈/无明确问题,正向反馈/无明确问题,P2,0.69,0.69,正向反馈/无明确问题,正向反馈/无明确问题:很好,继续保持现在的体验就很好,继续稳定获得当前产品价值，无需进入问题修复流程。,记录正向体验信号并用于趋势观察；当前样本不创建问题修复项。,False,,rules,False,
